model,model_key,checkpoint,checkpoint_type,dense_bytes,checkpoint_bytes,dense_gib,checkpoint_gib,file_size_ratio,path,note
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_unstructured_sparse_seed3,fake_dense_state_dict,123917994,124080691,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_unstructured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_semi_structured_sparse_seed1,fake_dense_state_dict,123917994,124081651,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_semi_structured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Tiny,maxvit_tiny,nvfp4_semi_structured_sparse_seed2,fake_dense_state_dict,123917994,124081651,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_semi_structured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Tiny,maxvit_tiny,nvfp4_semi_structured_sparse_seed3,fake_dense_state_dict,123917994,124081651,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_semi_structured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Tiny,maxvit_tiny,nvfp4_unstructured_sparse_seed1,fake_dense_state_dict,123917994,124080563,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_unstructured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Tiny,maxvit_tiny,nvfp4_unstructured_sparse_seed2,fake_dense_state_dict,123917994,124080563,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_unstructured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Tiny,maxvit_tiny,nvfp4_unstructured_sparse_seed3,fake_dense_state_dict,123917994,124080563,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_unstructured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,cutlass_nvfp4_runtime,real_packed_checkpoint,276059044,69333195,0.257,0.065,3.982,artifacts/checkpoints/maxvit_small/cutlass_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Small,maxvit_small,cutlass_sparse_bf16_runtime,real_packed_checkpoint,276059044,96392587,0.257,0.090,2.864,artifacts/checkpoints/maxvit_small/cutlass_sparse_bf16_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Small,maxvit_small,cutlass_sparse_nvfp4_storage,real_packed_checkpoint,276059044,61868443,0.257,0.058,4.462,artifacts/checkpoints/maxvit_small/cutlass_sparse_nvfp4_storage/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Small,maxvit_small,nvfp4,fake_dense_state_dict,276059044,276212907,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_4over6_semi_structured_sparse,fake_dense_state_dict,276059044,276222699,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_semi_structured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_semi_structured_sparse_seed1,fake_dense_state_dict,276059044,276222763,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_semi_structured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_semi_structured_sparse_seed2,fake_dense_state_dict,276059044,276222763,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_semi_structured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_semi_structured_sparse_seed3,fake_dense_state_dict,276059044,276222763,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_semi_structured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_unstructured_sparse,fake_dense_state_dict,276059044,276221611,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_unstructured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_unstructured_sparse_seed1,fake_dense_state_dict,276059044,276221611,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_unstructured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_unstructured_sparse_seed2,fake_dense_state_dict,276059044,276221611,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_unstructured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_4over6_unstructured_sparse_seed3,fake_dense_state_dict,276059044,276221611,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_4over6_unstructured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Small,maxvit_small,nvfp4_semi_structured_sparse,fake_dense_state_dict,276059044,276219691,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_semi_structured_sparse_seed1,fake_dense_state_dict,276059044,276222635,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_semi_structured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_semi_structured_sparse_seed2,fake_dense_state_dict,276059044,276222635,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_semi_structured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_semi_structured_sparse_seed3,fake_dense_state_dict,276059044,276222635,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_semi_structured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_unstructured_sparse,fake_dense_state_dict,276059044,276218539,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_unstructured_sparse_seed1,fake_dense_state_dict,276059044,276221483,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_unstructured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_unstructured_sparse_seed2,fake_dense_state_dict,276059044,276221483,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_unstructured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,nvfp4_unstructured_sparse_seed3,fake_dense_state_dict,276059044,276221483,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/nvfp4_unstructured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,semi_structured_sparse,fake_dense_state_dict,276059044,276209195,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Small,maxvit_small,unstructured_sparse,fake_dense_state_dict,276059044,276208043,0.257,0.257,0.999,artifacts/checkpoints/maxvit_small/unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,cutlass_nvfp4_runtime,real_packed_checkpoint,478594030,119998790,0.446,0.112,3.988,artifacts/checkpoints/maxvit_base/cutlass_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Base,maxvit_base,cutlass_sparse_bf16_runtime,real_packed_checkpoint,478594030,166907566,0.446,0.155,2.867,artifacts/checkpoints/maxvit_base/cutlass_sparse_bf16_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Base,maxvit_base,cutlass_sparse_nvfp4_storage,real_packed_checkpoint,478594030,107050922,0.446,0.100,4.471,artifacts/checkpoints/maxvit_base/cutlass_sparse_nvfp4_storage/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Base,maxvit_base,nvfp4,fake_dense_state_dict,478594030,478932670,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_4over6_semi_structured_sparse,fake_dense_state_dict,478594030,478953662,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_semi_structured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_semi_structured_sparse_seed1,fake_dense_state_dict,478594030,478953726,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_semi_structured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_semi_structured_sparse_seed2,fake_dense_state_dict,478594030,478953726,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_semi_structured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_semi_structured_sparse_seed3,fake_dense_state_dict,478594030,478953726,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_semi_structured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_unstructured_sparse,fake_dense_state_dict,478594030,478951294,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_unstructured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_unstructured_sparse_seed1,fake_dense_state_dict,478594030,478951358,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_unstructured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_unstructured_sparse_seed2,fake_dense_state_dict,478594030,478951358,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_unstructured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_4over6_unstructured_sparse_seed3,fake_dense_state_dict,478594030,478951358,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_4over6_unstructured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Base,maxvit_base,nvfp4_semi_structured_sparse,fake_dense_state_dict,478594030,478947262,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_semi_structured_sparse_seed1,fake_dense_state_dict,478594030,478953470,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_semi_structured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_semi_structured_sparse_seed2,fake_dense_state_dict,478594030,478953470,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_semi_structured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_semi_structured_sparse_seed3,fake_dense_state_dict,478594030,478953470,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_semi_structured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_unstructured_sparse,fake_dense_state_dict,478594030,478944830,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_unstructured_sparse_seed1,fake_dense_state_dict,478594030,478951038,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_unstructured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_unstructured_sparse_seed2,fake_dense_state_dict,478594030,478951038,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_unstructured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,nvfp4_unstructured_sparse_seed3,fake_dense_state_dict,478594030,478951038,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/nvfp4_unstructured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,semi_structured_sparse,fake_dense_state_dict,478594030,478924542,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Base,maxvit_base,unstructured_sparse,fake_dense_state_dict,478594030,478922110,0.446,0.446,0.999,artifacts/checkpoints/maxvit_base/unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,cutlass_nvfp4_runtime,real_packed_checkpoint,850242572,211870596,0.792,0.197,4.013,artifacts/checkpoints/maxvit_large/cutlass_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Large,maxvit_large,cutlass_sparse_bf16_runtime,real_packed_checkpoint,850242572,295450436,0.792,0.275,2.878,artifacts/checkpoints/maxvit_large/cutlass_sparse_bf16_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Large,maxvit_large,cutlass_sparse_nvfp4_storage,real_packed_checkpoint,850242572,188709636,0.792,0.176,4.506,artifacts/checkpoints/maxvit_large/cutlass_sparse_nvfp4_storage/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Large,maxvit_large,nvfp4,fake_dense_state_dict,850242572,850580740,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_4over6_semi_structured_sparse,fake_dense_state_dict,850242572,850601668,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_semi_structured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_semi_structured_sparse_seed1,fake_dense_state_dict,850242572,850601732,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_semi_structured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_semi_structured_sparse_seed2,fake_dense_state_dict,850242572,850601732,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_semi_structured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_semi_structured_sparse_seed3,fake_dense_state_dict,850242572,850601732,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_semi_structured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_unstructured_sparse,fake_dense_state_dict,850242572,850599492,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_unstructured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_unstructured_sparse_seed1,fake_dense_state_dict,850242572,850599556,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_unstructured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_unstructured_sparse_seed2,fake_dense_state_dict,850242572,850599556,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_unstructured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_4over6_unstructured_sparse_seed3,fake_dense_state_dict,850242572,850599556,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_4over6_unstructured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Large,maxvit_large,nvfp4_semi_structured_sparse,fake_dense_state_dict,850242572,850595268,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_semi_structured_sparse_seed1,fake_dense_state_dict,850242572,850601476,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_semi_structured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_semi_structured_sparse_seed2,fake_dense_state_dict,850242572,850601476,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_semi_structured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_semi_structured_sparse_seed3,fake_dense_state_dict,850242572,850601476,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_semi_structured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_unstructured_sparse,fake_dense_state_dict,850242572,850593028,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_unstructured_sparse_seed1,fake_dense_state_dict,850242572,850599364,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_unstructured_sparse_seed1/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_unstructured_sparse_seed2,fake_dense_state_dict,850242572,850599364,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_unstructured_sparse_seed2/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,nvfp4_unstructured_sparse_seed3,fake_dense_state_dict,850242572,850599364,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/nvfp4_unstructured_sparse_seed3/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,semi_structured_sparse,fake_dense_state_dict,850242572,850572548,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
MaxViT Large,maxvit_large,unstructured_sparse,fake_dense_state_dict,850242572,850570116,0.792,0.792,1.000,artifacts/checkpoints/maxvit_large/unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
DINOv3 ViT-7B/16,dinov3_vit7b16,cutlass_nvfp4_runtime,real_packed_checkpoint,26896984229,3801933928,25.050,3.541,7.075,artifacts/checkpoints/dinov3_vit7b16/cutlass_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
DINOv3 ViT-7B/16,dinov3_vit7b16,cutlass_sparse_bf16_runtime,real_packed_checkpoint,26896984229,7576780743,25.050,7.056,3.550,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_bf16_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
DINOv3 ViT-7B/16,dinov3_vit7b16,cutlass_sparse_nvfp4_runtime,real_packed_checkpoint,26896984229,4011860128,25.050,3.736,6.704,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
DINOv3 ViT-7B/16,dinov3_vit7b16,cutlass_sparse_nvfp4_storage,real_packed_checkpoint,26896984229,2753525152,25.050,2.564,9.768,artifacts/checkpoints/dinov3_vit7b16/cutlass_sparse_nvfp4_storage/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
DINOv3 ViT-7B/16,dinov3_vit7b16,nvfp4,fake_dense_state_dict,26896984229,26897224719,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/nvfp4/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
DINOv3 ViT-7B/16,dinov3_vit7b16,nvfp4_4over6_semi_structured_sparse,fake_dense_state_dict,26896984229,26897250511,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/nvfp4_4over6_semi_structured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
DINOv3 ViT-7B/16,dinov3_vit7b16,nvfp4_4over6_unstructured_sparse,fake_dense_state_dict,26896984229,26897247631,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/nvfp4_4over6_unstructured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
DINOv3 ViT-7B/16,dinov3_vit7b16,nvfp4_semi_structured_sparse,fake_dense_state_dict,26896984229,26897241935,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/nvfp4_semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
DINOv3 ViT-7B/16,dinov3_vit7b16,nvfp4_unstructured_sparse,fake_dense_state_dict,26896984229,26897239119,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/nvfp4_unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
DINOv3 ViT-7B/16,dinov3_vit7b16,semi_structured_sparse,fake_dense_state_dict,26896984229,26897214927,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/semi_structured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
DINOv3 ViT-7B/16,dinov3_vit7b16,unstructured_sparse,fake_dense_state_dict,26896984229,26897212047,25.050,25.050,1.000,artifacts/checkpoints/dinov3_vit7b16/unstructured_sparse/model.pt,Fake/pruned checkpoint stores dense tensors; file-size ratio is close to 1x and not storage compression.
